Frame,Metric Distance
0,35.133266961378126
1,35.464837192910224
2,35.36734548726018
3,34.813723207116155
4,35.207047459304306
5,35.48518106425302
6,36.05286320788187
7,36.4110758339775
8,36.54073544742587
9,36.44560129273571
10,37.047863090656975
11,37.247935139735915
12,37.06734559072671
13,37.149542650340685
14,37.589519275424145
15,37.53882721827733
16,37.46310498950748
17,37.42153312730836
18,38.13098268937858
19,37.892537231083196
20,38.580600225998644
21,38.942170528146725
22,38.40391027744878
23,38.68709851734968
24,38.69610334889979
25,38.97280088030662
26,39.6010838648741
27,39.83090474192398
28,40.14329864035393
29,40.024123868431616
30,39.55080736870439
31,39.67774163946062
32,39.95158040505061
33,40.379624340059536
34,40.9468053713358
35,35.7127878982695
36,35.33378164961852
37,35.15993110803707
38,34.519964315983074
39,34.59728523254024
40,34.06558463313065
41,34.03651927689799
42,34.46339004806599
43,34.67051769556867
44,34.36149388112174
45,34.18010545837419
46,34.13726501876557
47,35.00843042577156
48,34.788244815223834
49,35.29886797164359
50,35.87244730997354
51,35.72156852937019
52,35.695588757558106
53,36.054222757471415
54,36.05487085087759
55,36.17496697293946
56,36.592595595523015
57,36.86302844147695
58,37.02854877053518
59,37.245614478253835
60,37.64395504274458
61,37.104983318692
62,37.89357946825432
63,37.721864191549344
64,38.31679427918962
65,38.296121438653444
66,38.298814462842955
67,37.9974995320345
68,38.51003053292634
69,39.02704612400295
70,39.050121568637316
71,38.84435334255857
72,39.14373773150174
73,39.43664039250992
74,39.50584553448899
75,39.28609436197136
76,39.615934803471426
77,39.12283567379266
78,39.616726938669274
79,39.78225933726177
80,39.748073994514726
81,36.46137488885368
82,34.2782892585801
83,34.67022494809095
84,34.474660474293884
85,34.299545719362804
86,34.082434229487205
87,33.57710478413502
88,33.54335631879824
89,34.09944364000464
90,34.27530699279134
91,34.92926989828518
92,35.085206313344216
93,35.06626798548458
94,35.16576206269792
95,35.43515247284869
96,35.80471279096194
97,36.61547250771815
98,36.53051916614647
99,37.19159773608263
100,36.85528397067232
101,37.50558897309814
102,37.384130215032094
103,37.19023780300668
104,37.68738198738405
105,37.38144829117502
106,38.223981347916286
107,38.190554008688004
108,37.65472059173352
109,37.83729753963459
110,38.38624321608692
111,38.61414991517502
112,39.165304387924444
113,39.234256033697974
114,39.12181202833645
115,39.61635341079108
116,39.47855684970024
117,39.53265929084219
118,39.67637393132773
119,39.775075090219104
120,39.91726848615334
121,39.658533340708544
122,38.88532753740057
123,35.46852734333181
124,34.256963354114795
125,34.46502410228818
126,34.40979245713401
127,33.77533650795287
128,33.52656256088469
129,33.43415193710555
130,33.650065388213996
131,34.86580932549031
132,34.9543201180505
133,35.23493013733395
134,35.19942938036492
135,35.44705806837881
136,36.501944889097395
137,36.28581365369813
138,36.826665245483234
139,36.55548690799773
140,36.77752214286046
141,37.45986487390959
142,37.16216526750351
143,37.08677554228404
144,37.196576939616556
145,37.74715317065236
146,38.0492833402681
147,38.10123539841678
148,37.955139946494526
149,38.592289094595
150,38.93070858731979
151,39.50901771410424
152,38.55826967316053
153,38.35559242187034
154,38.92090396778103
155,39.108672640435344
156,38.480371023865544
157,39.15214848424467
158,39.359603158677004
159,41.041354186899085
160,39.28433519610199
161,39.97946267080724
162,35.13103849055856
163,33.58701980820768
164,33.98528862614622
165,34.565811328117114
166,34.60401286879064
167,34.13596879882691
168,34.87051837459674
169,34.16443675846837
170,35.1498489862694
171,35.97131429476822
172,35.58663417917972
173,36.13826788826781
174,36.41769546138273
175,36.5351706869491
176,36.73773162338912
177,36.763577088487324
178,37.028648618083714
179,37.7926454184228
180,38.08673140408061
181,38.280825180886644
182,38.195892143782665
